Country Code,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,9000R,9012R,0010R,1012R
CCA,6.1.1_PRIMARY.ENERGY.SUPPLY,6285599,6283812.96,6012980.34,5452520.93,5159057.28,4739211.59,4451694.98,4231549.4,4468373.61,4462868.81,4428617.59,4397781.48,4743031.04,4893995.61,5223444.56,5104714.12,5609518.85,5929869.97,6188003.23,5545652.73,5854035.14,6479558.8,6493946.07,,,,
CCA,12.1_TD.LOSSES,10.23749234,10.57028315,11.05374423,12.9361073,13.95405692,14.80400413,16.03519673,15.31691162,15.74300786,15.15383174,14.36826892,13.75420581,14.10679449,13.56105192,13.39533928,13.70526556,12.67091694,12.61656782,12.19395928,11.66327781,11.29080961,11.0375333,10.84794522,,,,
CCA,3.1.8_WASTE.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,2.1.8_SHARE.WASTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
CCA,3.1.5_WIND.CONSUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.194753911,,,,
CCA,2.1.5_SHARE.WIND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000201766,,,,
HIC,3.1.9_BIOGAS.CONSUM,26677.4229,29004.39646,26576.51579,29407.89711,32519.50382,37178.03082,41828.66603,48021.68088,50669.36604,122623.6266,126267.6686,141628.816,169139.7475,162124.1371,170911.1634,182792.8999,199317.4603,242285.5301,255406.4506,289133.0201,323395.5346,364759.2067,424040.0073,,,,
HIC,2.1.9_SHARE.BIOGAS,0.019012539,0.020574658,0.019083261,0.020901953,0.023268812,0.026383081,0.029132446,0.033518188,0.035407172,0.083602925,0.08370622,0.093967397,0.112318576,0.105829734,0.110362661,0.118105383,0.128391442,0.154941166,0.16439394,0.194419114,0.208140307,0.237754251,0.277208701,,,,
HIC,18.2_DECOMP.ACTIVITY.INDEX,1,1.00893779,1.015336359,1.01965529,1.038353728,1.060232008,1.084169944,1.116144757,1.139008664,1.17295827,1.215572687,1.236531237,1.254850022,1.282979531,1.32216935,1.363285008,1.402456503,1.440187242,1.450694807,1.407607803,1.443586283,1.475797837,1.512190436,,,,
HIC,18.5_DECOMP.ACTIVITY.RATE,,,,,,,,,,,,,,,,,,,,,,,,,1.897594385,,2.348591444
HIC,18.1_DECOMP.EFFICIENCY.IND,1,1.000482213,0.99123451,1.033305438,1.010531675,0.996919398,0.993013078,0.962563358,0.945154731,0.932388484,0.915283205,0.899074698,0.88427863,0.882822774,0.857585429,0.832186646,0.811185983,0.793256385,0.784078912,0.789381843,0.797286348,0.76797681,0.750263541,,,,
HIC,18.4_DECOMP.EFFICIENCY.RATE,,,,,,,,,,,,,,,,,,,,,,,,,-1.297557035,,-2.993740786
HIC,18.3_DECOMP.STRUCTURE.INDE,1,0.992464051,0.988768122,0.98515524,0.986422809,0.988502563,0.988977691,0.99015929,0.990118633,0.995565984,1.003721781,1.001162287,1.00231961,1.001986949,1.011434035,1.012560563,1.016415141,1.020090164,1.020008775,1.002364371,1.009312687,1.015229124,1.009287284,,,,
HIC,18.6_DECOMP.STRUCTURE.RATE,,,,,,,,,,,,,,,,,,,,,,,,,0.04202893,,-0.001258469
HIC,8.1.2_FINAL.ENERGY.INTENSITY,4.512948485,4.510471732,4.409601366,4.46029894,4.333784222,4.263058357,4.230124976,4.077607889,3.97923711,3.9401655,3.881815198,3.813648355,3.742464137,3.70776623,3.614709899,3.520403791,3.410216544,3.327481216,3.275974237,3.250499462,3.293938473,3.19194345,3.128339088,,,,
HIC,6.1_PRIMARY.ENERGY.INTENSITY,7.314341452,7.342288071,7.251735015,7.241474081,7.078786337,7.004999141,7.000368265,6.77962108,6.636161156,6.538535395,6.416492803,6.319083062,6.253918184,6.184684289,6.081114804,5.920607434,5.755875921,5.602294941,5.528407876,5.481271147,5.5520925,5.367724554,5.269714932,,,,
HIC,14.1_AGR.ENERGY.INTENSITY,5.547147885,5.754490334,5.501848897,5.964536464,6.150132899,6.360412113,5.895912298,5.554901998,5.300489084,4.757268459,4.475951564,4.520890544,4.63361266,4.516858356,4.46826675,4.353997462,4.386531262,4.384392409,4.047286276,3.706340446,3.917007469,4.016521626,3.846136153,,,,
HIC,13.1_INDUSTRY.ENERGY.INTENSITY,6.212616258,6.158854308,6.213973703,6.265984664,6.134718717,6.008828772,5.919115753,5.809244694,5.706875898,5.623896514,5.652379061,5.50974611,5.394128477,5.313350805,5.11506056,4.958311891,4.900645275,4.807851094,4.798118449,4.875247104,4.88920552,4.721425621,4.606003823,,,,
HIC,17.1_HOUSEHOLD.ENERG.INTENSITY,71.04589767,72.17260458,70.37863924,83.12185256,79.60533533,78.9762243,81.27733372,78.02495002,76.21016639,76.50891367,77.44519115,77.32948647,75.77846441,76.96819946,75.58814074,73.27162186,71.21371468,70.17781331,71.11911873,69.83577664,72.71862954,69.73362466,69.0804705,,,,
HIC,15.1_SERVICES.ENERGY.INTENSITY,0.970790744,0.979536113,0.926752138,0.961520593,0.957700771,0.95743638,0.969354082,0.932070311,0.905658993,0.907271994,0.882131056,0.871951755,0.867098757,0.878181449,0.865687711,0.860313656,0.832201143,0.818364931,0.828117021,0.831230005,0.831671491,0.797401658,0.761838512,,,,
HIC,16.1_TRANS.ENERGY.INTENSITY,24.55697198,24.41735648,24.37643415,24.24292962,23.77673479,23.35245657,22.99512872,22.24371174,22.38757716,21.51739796,2.284164137,19.79566436,19.48449311,19.42834782,18.79418723,18.92217469,17.43154279,16.85133523,16.14741669,16.46297592,16.45228893,15.82497615,15.57756324,,,,
